[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
12;4;8;0.3;20;0.357;0.482;0.143;[know_agent agree_agent crit_agent neuro_agent e f g h i j];true;[1 1 5.01 1];[1 1 1 1];[1 5.22 1 1];[0 0 0 0.57];[0.87 0.2 0.2 0.2]
10;4;8;0.3;18;0.143;0.4109999999999999;0.286;[neuro_agent talk_agent neuro_agent agree_agent e f g h i j];true;[2.44 1 1 1];[1 2.28 1 1];[1 1 6.24 5.99];[0 0 0 0];[0.2 0.2 0.2 0.2]
14;4;8;0.3;31;0.857;121.425;1.071;[crit_agent neuro_agent crit_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 1 4.25];[0.26 1.06 0.3 0];[0.2 0.2 0.2 0.2]
13;4;8;0.3;20;0.143;0.3395;0;[crit_agent crit_agent know_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[2.22 1 1 1];[0 0.29 0 0.31];[0.2 0.2 0.63 0.2]
17;4;8;0.3;17;0;0;0;[neuro_agent agree_agent crit_agent neuro_agent e f g h i j];false;[2.36 1 1 1];[1 1 1 1];[1 4.04 3.64 1];[0 0 0 0.25];[0.2 0.2 0.2 0.2]
15;4;8;0.3;27;0.143;0.07150000000000001;-0.28600000000000003;[talk_agent know_agent talk_agent know_agent e f g h i j];true;[1 1 1 1];[1 2.4 3.74 1];[1 1 1 1];[0 0 0 0];[0.89 0.2 0.2 0.66]
18;4;8;0.3;26;0.143;0.33975;-0.07100000000000001;[know_agent crit_agent neuro_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 5.39 1 2.67];[0.5 0 0 0];[0.2 0.2 0.79 0.2]
16;4;8;0.3;23;0.429;0.429;0.14300000000000002;[crit_agent know_agent talk_agent know_agent e f g h i j];true;[1 1 1 1];[1 1 1 2.58];[1 1 1 1];[0 0.49 0 0];[0.79 0.2 0.7 0.2]
19;4;8;0.3;11;-0.286;-0.035999999999999976;-0.286;[know_agent agree_agent agree_agent neuro_agent e f g h i j];true;[4.38 1 1 2.67];[1 1 1 1];[1 1 3.49 1];[0 0 0 0];[0.2 0.51 0.2 0.2]
21;4;8;0.3;16;-0.286;-0.035999999999999976;-0.07199999999999998;[crit_agent crit_agent agree_agent neuro_agent e f g h i j];true;[1 2.93 1 1];[1 1 1 1];[1 1 3.31 1];[0.33 0 0 0.24];[0.2 0.2 0.2 0.2]
20;4;8;0.3;20;0.286;0.30399999999999994;-0.21400000000000002;[neuro_agent know_agent crit_agent agree_agent e f g h i j];true;[1 1 1 2.2];[1 1 1 1];[1 1 2.33 1];[0 0.44 0 0];[0.75 0.2 0.2 0.2]
25;4;8;0.3;33;0.143;0.3395;0.143;[know_agent crit_agent crit_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 2.72 1];[0.4 0 0 0.54];[0.2 0.52 0.2 0.2]
23;4;8;0.3;37;-0.357;-0.035499999999999976;-0.143;[talk_agent agree_agent talk_agent talk_agent e f g h i j];true;[1 1 2.13 1];[2.54 2.06 1 2.23];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
27;4;8;0.3;19;0;0.14275;-0.286;[talk_agent agree_agent neuro_agent know_agent e f g h i j];true;[1 1 1 6.04];[1 2.69 1 1];[3.44 1 1 1];[0 0 0 0];[0.2 0.2 0.82 0.2]
22;4;8;0.3;15;0.214;0.46399999999999997;0.357;[talk_agent agree_agent crit_agent neuro_agent e f g h i j];true;[2.82 1 1 1];[1 2.07 1 1];[1 1 3.17 1];[0 0 0 0.44];[0.2 0.2 0.2 0.2]
26;4;8;0.3;13;0.071;0.2675;0.21399999999999997;[neuro_agent agree_agent agree_agent neuro_agent e f g h i j];true;[1 2.43 2.27 1];[1 1 1 1];[4.24 1 1 3.19];[0 0 0 0];[0.2 0.2 0.2 0.2]
24;4;8;0.3;14;-0.214;-0.05349999999999999;-0.214;[neuro_agent crit_agent know_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 1 2.78];[1 4.46 1 1];[0 0 0.21 0];[0.52 0.2 0.2 0.2]
28;4;8;0.3;25;0.5;0.607;0.07100000000000001;[agree_agent know_agent neuro_agent crit_agent e f g h i j];true;[1 4.86 1 1];[1 1 1 1];[3.3 1 1 1];[0 0 0.77 0];[0.2 0.2 0.2 0.91]
30;4;8;0.3;13;-0.071;0.018250000000000002;-0.285;[talk_agent know_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[3.02 2.27 3.35 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.91]
29;4;8;0.3;13;0.071;0.23175;0.21399999999999997;[neuro_agent agree_agent neuro_agent agree_agent e f g h i j];true;[1 2.5 2.12 1];[1 1 1 1];[2.35 1 1 2.09];[0 0 0 0];[0.2 0.2 0.2 0.2]
33;4;8;0.3;26;-0.071;0.21499999999999997;0.21499999999999997;[talk_agent neuro_agent neuro_agent neuro_agent e f g h i j];true;[1 1 1 1];[3.97 1 1 1];[1 3.38 2.41 3.99];[0 0 0 0];[0.2 0.2 0.2 0.2]
31;4;8;0.3;23;0.214;0.62475;0.571;[crit_agent neuro_agent agree_agent neuro_agent e f g h i j];true;[1 1 1 3.09];[1 1 1 1];[4.46 1 2.62 1];[0 0.72 0 0];[0.2 0.2 0.2 0.2]
32;4;8;0.3;21;0.357;0.6785;0.5;[talk_agent agree_agent talk_agent crit_agent e f g h i j];true;[2.6 1 1 1];[1 3.35 1 2.75];[1 1 1 1];[0 0 0.3 0];[0.2 0.2 0.2 0.2]
35;4;8;0.3;24;0.643;0.7322500000000001;0.14300000000000002;[crit_agent know_agent crit_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 4.12 1];[1 1 1 1];[0 0.22 0 0.38];[0.96 0.2 0.2 0.2]
34;4;8;0.3;35;0.286;0.411;0.21499999999999997;[crit_agent know_agent crit_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 2.36 1];[0.66 0.47 0 0];[0.2 0.2 0.2 0.64]
36;4;8;0.3;12;0.071;0.28525;-0.21499999999999997;[crit_agent know_agent talk_agent agree_agent e f g h i j];true;[1 1 1 4.03];[1 1 3.89 1];[1 1 1 1];[0.49 0 0 0];[0.2 0.86 0.2 0.2]
37;4;8;0.3;25;-0.286;-0.268;-0.643;[agree_agent talk_agent know_agent know_agent e f g h i j];true;[2.67 1 1 1];[1 1 1 5.18];[1 1 1 1];[0 0 0 0];[0.2 0.98 0.61 0.2]
39;4;8;0.3;26;0.143;0.44675;0.286;[agree_agent neuro_agent crit_agent neuro_agent e f g h i j];true;[1 2.79 1 1];[1 1 1 1];[1 1 4.44 3.5];[0.23 0 0 0];[0.2 0.2 0.2 0.2]
41;4;8;0.3;15;-0.214;0.161;0.07199999999999998;[talk_agent neuro_agent crit_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 1 3.83];[1 3.92 2.57 1];[0.23 0 0 0];[0.2 0.2 0.2 0.2]
40;4;8;0.3;19;-0.071;-0.321;-0.714;[know_agent talk_agent know_agent know_agent e f g h i j];true;[1 1 1 1];[1 1 1 5.13];[1 1 1 1];[0 0 0 0];[0.94 0.91 0.56 0.2]
42;4;8;0.3;18;-0.429;-0.197;-0.28600000000000003;[talk_agent neuro_agent talk_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 1 2.34 3.48];[2.16 3.53 1 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
38;4;8;0.3;21;-0.214;0.035999999999999976;0;[crit_agent talk_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[5.17 6.11 1 4.88];[1 1 1 1];[0 0 0.44 0];[0.2 0.2 0.2 0.2]
43;4;8;0.3;14;0;0.28575;0.214;[agree_agent neuro_agent neuro_agent talk_agent e f g h i j];true;[1 1 3.05 1];[1 3.18 1 1];[4.93 1 1 6.21];[0 0 0 0];[0.2 0.2 0.2 0.2]
44;4;8;0.3;23;-0.143;-0.018000000000000002;-0.21399999999999997;[agree_agent know_agent neuro_agent neuro_agent e f g h i j];true;[1 1 2.07 1];[1 1 1 1];[1 6.2 1 3.17];[0 0 0 0];[0.77 0.2 0.2 0.2]
45;4;8;0.3;20;-0.071;0.072;-0.142;[talk_agent know_agent neuro_agent crit_agent e f g h i j];true;[1 1 1 1];[1 3.85 1 1];[1 1 1 3.17];[0.23 0 0 0];[0.2 0.2 0.62 0.2]
46;4;8;0.3;13;0;0.30375;0.143;[neuro_agent agree_agent crit_agent talk_agent e f g h i j];true;[1 2.36 1 1];[1 1 1 4.1];[1 1 3.39 1];[0.27 0 0 0];[0.2 0.2 0.2 0.2]
47;4;8;0.3;33;0;0;0;[neuro_agent agree_agent crit_agent talk_agent e f g h i j];false;[1 2.7 1 1];[1 1 2.03 1];[6.5 1 1 1];[0 0 0 0.68];[0.2 0.2 0.2 0.2]
51;4;8;0.3;9;0.071;0.196;0;[agree_agent agree_agent know_agent agree_agent e f g h i j];true;[3.69 2.36 4.28 1];[1 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.51]
49;4;8;0.3;21;0.143;0.3215;0;[agree_agent know_agent neuro_agent neuro_agent e f g h i j];true;[3.11 1 1 1];[1 1 1 1];[1 2.85 1 4.68];[0 0 0 0];[0.2 0.2 0.59 0.2]
48;4;8;0.3;17;0.071;0.28525;0.21399999999999997;[neuro_agent talk_agent talk_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 4.96 2.58 1];[2.18 1 1 4.02];[0 0 0 0];[0.2 0.2 0.2 0.2]
50;4;8;0.3;23;0.286;0.42874999999999996;0.357;[crit_agent know_agent talk_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 4.28 1];[1 1 1 1];[1.19 0 0 0.21];[0.2 0.53 0.2 0.2]
54;4;8;0.3;17;-0.071;0.07175;-0.21399999999999997;[agree_agent know_agent neuro_agent agree_agent e f g h i j];true;[1 3.07 5.71 1];[1 1 1 1];[4.01 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.53]
53;4;8;0.3;18;0.214;0.19599999999999998;-0.42900000000000005;[talk_agent know_agent know_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 3.36];[1 1 1 1];[0 0.29 0 0];[0.98 0.2 0.51 0.2]
52;4;8;0.3;21;-0.143;0.035750000000000004;-0.21399999999999997;[agree_agent know_agent talk_agent agree_agent e f g h i j];true;[3.35 1 1 2.51];[1 4.71 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.58 0.2]
56;4;8;0.3;15;-0.214;-0.035250000000000004;-0.285;[know_agent agree_agent agree_agent talk_agent e f g h i j];true;[1 1 4.29 3.27];[2.49 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.63 0.2 0.2]
55;4;8;0.3;18;0.214;0.46399999999999997;0.428;[agree_agent talk_agent neuro_agent crit_agent e f g h i j];true;[1 1 1 2.03];[1 1 4.5 1];[1 6.59 1 1];[1.08 0 0 0];[0.2 0.2 0.2 0.2]
57;4;8;0.3;20;0.571;0.821;0.714;[agree_agent crit_agent crit_agent crit_agent e f g h i j];true;[1 1 1 3.12];[1 1 1 1];[1 1 1 1];[0.67 0.21 0.63 0];[0.2 0.2 0.2 0.2]
60;4;8;0.3;14;-0.286;-0.0895;-0.21499999999999997;[agree_agent neuro_agent neuro_agent talk_agent e f g h i j];true;[3.72 1 1 1];[1 3.29 1 1];[1 1 2.22 6.29];[0 0 0 0];[0.2 0.2 0.2 0.2]
59;4;8;0.3;19;-0.214;5,00E+11;-0.357;[know_agent neuro_agent talk_agent agree_agent e f g h i j];true;[1 1 1 2.78];[3.12 1 1 1];[1 2.3 1 1];[0 0 0 0];[0.2 0.2 0.72 0.2]
58;4;8;0.3;18;0.071;0.17824999999999996;0.071;[know_agent know_agent crit_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 3.13 1];[1 1 1 1];[0 0.24 0 0];[0.53 0.2 0.2 0.58]
61;4;8;0.3;54;0;0;0;[know_agent talk_agent crit_agent agree_agent e f g h i j];false;[1 1 2.79 1];[2.67 1 1 1];[1 1 1 1];[0 1.08 0 0];[0.2 0.2 0.2 0.75]
62;4;8;0.3;19;0.286;0.50025;0.42899999999999994;[talk_agent crit_agent crit_agent agree_agent e f g h i j];true;[2.07 1 1 1];[1 2.91 1 1];[1 1 1 1];[0 0 0.23 0.38];[0.2 0.2 0.2 0.2]
63;4;8;0.3;25;-0.143;0;-0.357;[agree_agent know_agent neuro_agent agree_agent e f g h i j];true;[1 6.55 1 7.29];[1 1 1 1];[1 1 3.66 1];[0 0 0 0];[0.72 0.2 0.2 0.2]
64;4;8;0.3;17;-0.357;-0.035499999999999976;-0.143;[neuro_agent neuro_agent neuro_agent talk_agent e f g h i j];true;[1 1 1 1];[1 2.85 1 1];[2.23 1 3.69 5.27];[0 0 0 0];[0.2 0.2 0.2 0.2]
65;4;8;0.3;14;-0.571;-0.3035;-0.49999999999999994;[neuro_agent talk_agent talk_agent crit_agent e f g h i j];true;[1 1 1 1];[8.04 1 1 3.13];[1 1 2.19 1];[0 0.25 0 0];[0.2 0.2 0.2 0.2]
66;4;8;0.3;25;1;0.8927499999999999;0.42900000000000005;[crit_agent know_agent know_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 1 1];[1.2 0 0 0.95];[0.2 0.96 0.93 0.2]
67;4;8;0.3;16;-0.143;0.1425;0.07100000000000001;[neuro_agent crit_agent neuro_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 1 4.59];[4.56 4 1 1];[0 0 0.22 0];[0.2 0.2 0.2 0.2]
68;4;8;0.3;22;0;0.21425;0.071;[talk_agent agree_agent neuro_agent talk_agent e f g h i j];true;[1 1 1 5.03];[2.4 2.89 1 1];[1 1 2.26 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
69;4;8;0.3;16;-0.214;-0.035249999999999976;-0.428;[agree_agent crit_agent know_agent crit_agent e f g h i j];true;[1 1 1 2.66];[1 1 1 1];[1 1 1 1];[0.25 0.36 0 0];[0.2 0.2 0.81 0.2]
70;4;8;0.3;14;0;0.16075;-0.143;[neuro_agent neuro_agent neuro_agent know_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[3.8 2.42 1 5.13];[0 0 0 0];[0.2 0.2 0.65 0.2]
71;4;8;0.3;22;-0.5;-0.25;-0.5;[neuro_agent know_agent agree_agent talk_agent e f g h i j];true;[2.27 1 1 1];[1 1 5.66 1];[1 3.74 1 1];[0 0 0 0];[0.2 0.2 0.2 0.68]
72;4;8;0.3;19;0.786;0.7325;0.5;[know_agent know_agent know_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 1 1];[0 0.96 0 0];[0.65 0.2 0.76 0.6]
73;4;8;0.3;19;0;0;0;[talk_agent neuro_agent neuro_agent neuro_agent e f g h i j];false;[1 1 1 1];[1 1 2.44 1];[4.32 3.71 1 2.4];[0 0 0 0];[0.2 0.2 0.2 0.2]
74;4;8;0.3;16;-0.357;2,50E+10;-0.07100000000000001;[agree_agent talk_agent talk_agent neuro_agent e f g h i j];true;[1 3.29 1 1];[2.49 1 3.11 1];[1 1 1 3.03];[0 0 0 0];[0.2 0.2 0.2 0.2]
75;4;8;0.3;35;-0.286;-0.035999999999999976;-0.143;[agree_agent talk_agent agree_agent neuro_agent e f g h i j];true;[4.57 1 1 2.35];[1 4.08 1 1];[1 1 3.16 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
77;4;8;0.3;22;-0.071;0.16099999999999998;0.14300000000000002;[crit_agent agree_agent crit_agent talk_agent e f g h i j];true;[1 1 1 5.4];[3.72 1 1 1];[1 1 1 1];[0 0.49 0.22 0];[0.2 0.2 0.2 0.2]
76;4;8;0.3;19;0.143;0.44675;0.286;[agree_agent talk_agent neuro_agent agree_agent e f g h i j];true;[1 1 3.49 6.09];[2.17 1 1 1];[1 3.67 1 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
78;4;8;0.3;19;0.429;0.66125;0.572;[talk_agent crit_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[2.66 3.67 4.38 1];[1 1 1 1];[0 0 0 0.37];[0.2 0.2 0.2 0.2]
81;4;8;0.3;11;0;0;0;[neuro_agent crit_agent agree_agent crit_agent e f g h i j];false;[1 1 1 2.83];[1 1 1 1];[1 1 4.37 1];[0.81 1.05 0 0];[0.2 0.2 0.2 0.2]
80;4;8;0.3;19;-0.214;-0.035500000000000004;-0.07100000000000001;[neuro_agent neuro_agent agree_agent neuro_agent e f g h i j];true;[1 2.02 1 1];[1 1 1 1];[2.69 1 4.37 4.88];[0 0 0 0];[0.2 0.2 0.2 0.2]
79;4;8;0.3;20;0.429;0.572;0.28600000000000003;[talk_agent agree_agent know_agent know_agent e f g h i j];true;[1 1 1 2.84];[3.26 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.78 0.58 0.2]
82;4;8;0.3;23;0.357;0.57125;0.5;[crit_agent crit_agent agree_agent crit_agent e f g h i j];true;[1 1 2.64 1];[1 1 1 1];[1 1 1 1];[0.48 0.99 0 0.75];[0.2 0.2 0.2 0.2]
83;4;8;0.3;23;0.429;0.572;0.358;[crit_agent know_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[2.23 3.15 1 1];[1 1 1 1];[0 0 0.51 0];[0.2 0.2 0.2 0.51]
86;4;8;0.3;20;0.286;0.536;0.42899999999999994;[neuro_agent talk_agent talk_agent crit_agent e f g h i j];true;[1 1 1 1];[3.05 1 1 2.74];[1 2.64 1 1];[0 0 0.77 0];[0.2 0.2 0.2 0.2]
85;4;8;0.3;20;0;0.393;0.214;[talk_agent agree_agent crit_agent talk_agent e f g h i j];true;[1 1 4.37 1];[5.66 1 1 4.67];[1 1 1 1];[0 0.4 0 0];[0.2 0.2 0.2 0.2]
84;4;8;0.3;22;-0.214;-0.214;-0.571;[know_agent know_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[2.28 3.59 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.59 0.9]
87;4;8;0.3;16;0;0;0;[crit_agent talk_agent crit_agent talk_agent e f g h i j];false;[1 1 1 1];[1 2.61 1 3.55];[1 1 1 1];[0.43 0 0.21 0];[0.2 0.2 0.2 0.2]
88;4;8;0.3;25;0;0;0;[agree_agent talk_agent talk_agent crit_agent e f g h i j];false;[1 1 1 2.92];[4.39 2.29 1 1];[1 1 1 1];[0 0 0.44 0];[0.2 0.2 0.2 0.2]
90;4;8;0.3;19;0.214;0.196;-0.215;[know_agent know_agent agree_agent talk_agent e f g h i j];true;[1 2.03 1 1];[3.28 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.98 0.52]
89;4;8;0.3;23;0.5;0.51775;0;[talk_agent know_agent crit_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 5.09];[1 1 1 1];[0.41 0.24 0 0];[0.2 0.2 0.81 0.2]
91;4;8;0.3;18;-0.071;0.072;-0.142;[agree_agent know_agent know_agent neuro_agent e f g h i j];true;[1 1 1 2.55];[1 1 1 1];[1 1 3.54 1];[0 0 0 0];[0.6 0.63 0.2 0.2]
94;4;8;0.3;17;-0.857;-0.625;-0.643;[talk_agent crit_agent agree_agent talk_agent e f g h i j];true;[1 3.28 1 1];[1 1 2.92 3.08];[1 1 1 1];[0.33 0 0 0];[0.2 0.2 0.2 0.2]
92;4;8;0.3;20;-0.286;0.03550000000000003;-0.143;[agree_agent agree_agent agree_agent neuro_agent e f g h i j];true;[2.8 5.27 2.06 1];[1 1 1 1];[1 1 1 3.51];[0 0 0 0];[0.2 0.2 0.2 0.2]
93;4;8;0.3;17;0;0.21425;0.143;[neuro_agent talk_agent agree_agent talk_agent e f g h i j];true;[1 6.17 1 1];[1 1 2.67 6.91];[2.31 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
95;4;8;0.3;25;0;0;0;[neuro_agent know_agent crit_agent agree_agent e f g h i j];false;[1 1 4.91 1];[1 1 1 1];[1 1 1 2.69];[0 0.82 0 0];[0.78 0.2 0.2 0.2]
96;4;8;0.3;17;0.429;0.53625;0.215;[know_agent neuro_agent talk_agent crit_agent e f g h i j];true;[1 1 1 1];[1 1 1 3.07];[1 1 5.67 1];[1.05 0 0 0];[0.2 0.82 0.2 0.2]
97;4;8;0.3;18;0.143;0.17875;-0.357;[talk_agent neuro_agent know_agent know_agent e f g h i j];true;[1 1 1 1];[3.23 1 1 1];[1 1 4.68 1];[0 0 0 0];[0.2 0.55 0.2 0.96]
98;4;8;0.3;22;0.357;0.482;0.214;[know_agent crit_agent crit_agent talk_agent e f g h i j];true;[1 1 1 1];[1 6.74 1 1];[1 1 1 1];[0.44 0 0 0.3];[0.2 0.2 0.69 0.2]
99;4;8;0.3;13;0.357;0.42874999999999996;-0.21399999999999997;[know_agent neuro_agent talk_agent talk_agent e f g h i j];true;[1 1 1 1];[3.32 1 1 2.14];[1 3.22 1 1];[0 0 0 0];[0.2 0.2 0.93 0.2]
100;4;8;0.3;25;0;0;0;[talk_agent know_agent crit_agent talk_agent e f g h i j];false;[1 1 1 1];[2.66 1 5.19 1];[1 1 1 1];[0 0 0 0.48];[0.2 0.96 0.2 0.2]
101;4;8;0.3;18;-0.071;0.08950000000000001;-0.357;[agree_agent agree_agent agree_agent know_agent e f g h i j];true;[2.71 3.94 1 2.97];[1 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.2 0.75 0.2]
102;4;8;0.3;19;-0.5;-0.3215;-0.643;[know_agent neuro_agent neuro_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 1 3.35];[2.22 6.01 1 1];[0 0 0 0];[0.2 0.2 0.59 0.2]
103;4;8;0.3;13;-0.286;0.08900000000000002;-0.07199999999999998;[neuro_agent agree_agent neuro_agent crit_agent e f g h i j];true;[2.9 1 1 1];[1 1 1 1];[1 5.47 6.33 1];[0 0 0 0.44];[0.2 0.2 0.2 0.2]
104;4;8;0.3;27;-0.214;0.035749999999999976;0;[agree_agent talk_agent agree_agent crit_agent e f g h i j];true;[1 1 3.1 4];[5.34 1 1 1];[1 1 1 1];[0 0.23 0 0];[0.2 0.2 0.2 0.2]
105;4;8;0.3;20;0.286;0.46475;-0.07100000000000001;[neuro_agent talk_agent know_agent neuro_agent e f g h i j];true;[1 1 1 1];[1 2.45 1 1];[2.24 1 4.71 1];[0 0 0 0];[0.2 0.2 0.2 0.8]
106;4;8;0.3;19;0.357;0.42824999999999996;0.07100000000000001;[agree_agent know_agent crit_agent talk_agent e f g h i j];true;[1 1 2.72 1];[2.69 1 1 1];[1 1 1 1];[0 0.22 0 0];[0.2 0.2 0.2 0.71]
107;4;8;0.3;20;0.214;0.37475;0.14300000000000002;[crit_agent agree_agent know_agent agree_agent e f g h i j];true;[4.84 3.28 1 1];[1 1 1 1];[1 1 1 1];[0 0 0 0.31];[0.2 0.2 0.72 0.2]
108;4;8;0.3;21;0.143;0.268;0;[crit_agent talk_agent neuro_agent know_agent e f g h i j];true;[1 1 1 1];[3.11 1 1 1];[1 1 5.64 1];[0 0 0 0.3];[0.2 0.65 0.2 0.2]
109;4;8;0.3;26;0.214;0.2675;0.07100000000000001;[neuro_agent crit_agent know_agent know_agent e f g h i j];true;[1 1 1 1];[1 1 1 1];[1 1 3.88 1];[0.21 0 0 0];[0.2 0.51 0.2 0.71]
110;4;8;0.3;26;0.214;0.32125;-0.07199999999999998;[talk_agent know_agent crit_agent agree_agent e f g h i j];true;[4.65 1 1 1];[1 1 1 2.22];[1 1 1 1];[0 0.41 0 0];[0.2 0.2 0.73 0.2]
111;4;8;0.3;30;0;0.24975;0.214;[neuro_agent crit_agent neuro_agent talk_agent e f g h i j];true;[1 1 1 1];[1 1 1 3.28];[3.56 1 3.68 1];[0 0.53 0 0];[0.2 0.2 0.2 0.2]
112;4;8;0.3;38;-0.429;-0.197;-0.358;[neuro_agent agree_agent talk_agent agree_agent e f g h i j];true;[2.81 1 1 2.32];[1 3.9 1 1];[1 1 5.3 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
113;4;8;0.3;22;-0.143;0.05350000000000002;0;[neuro_agent talk_agent talk_agent crit_agent e f g h i j];true;[1 1 1 1];[1 3.29 1 3.17];[2.1 1 1 1];[0 0 0.39 0];[0.2 0.2 0.2 0.2]
114;4;8;0.3;24;-0.214;-0.035500000000000004;-0.07100000000000001;[talk_agent talk_agent agree_agent neuro_agent e f g h i j];true;[1 2.95 1 1];[1 1 3.88 4.13];[3.94 1 1 1];[0 0 0 0];[0.2 0.2 0.2 0.2]
115;4;8;0.3;20;-0.071;0.23249999999999998;0.14300000000000002;[neuro_agent talk_agent agree_agent crit_agent e f g h i j];true;[2.39 1 1 1];[1 5.19 1 1];[1 1 2.1 1];[0 0 0 0.7];[0.2 0.2 0.2 0.2]
116;4;8;0.3;27;-0.286;-0.14325;-0.572;[agree_agent agree_agent agree_agent know_agent e f g h i j];true;[5.86 1 2.24 3.8];[1 1 1 1];[1 1 1 1];[0 0 0 0];[0.2 0.79 0.2 0.2]
